created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,temperature,humidity,id_analog,o3_analog,pm25_analog,pm10_analog,no2_analog,co_analog,pm2_5_ispu,pm10_ispu,co_ispu,no2_ispu,o3_ispu,predicted_category,actual_category,segmen,lokasi
2026-06-10 08:47:27.396150+00:00,10.31,10.73,1556.38,0,19.63,34.5,51.7,,,,,,,,,,,,Baik,,4,Margomulyo
2026-06-10 08:52:32.916264+00:00,12.24,13.75,1604.36,0,19.63,34.9,51.0,132.0,0.0,120.0,124.0,4095.0,2678.0,36.66,13.05,20.26,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:34:21.149763+00:00,13.48,11.89,1396.69,0,19.63,36.7,45.9,173.0,0.0,127.0,128.0,4095.0,2679.0,40.64,13.98,20.29,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:19:03.194281+00:00,12.6,12.59,1610.48,0,19.63,36.1,46.9,158.0,0.0,117.0,125.0,4095.0,2713.0,34.95,13.29,21.19,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:00:42.103834+00:00,15.77,15.61,1574.16,0,19.63,35.7,48.4,140.0,0.0,130.0,133.0,4095.0,2621.0,42.34,15.14,18.85,0.0,8.18,Sedang,Baik,4,Margomulyo
2026-06-10 09:43:32.418320+00:00,14.01,15.84,1566.22,0,19.63,35.7,48.8,182.0,0.0,122.0,120.0,4095.0,2625.0,37.79,12.12,18.95,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:22:06.804166+00:00,12.07,12.82,1449.38,0,19.63,36.2,47.4,161.0,0.0,129.0,125.0,4095.0,2607.0,41.77,13.29,18.53,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:37:25.122320+00:00,11.01,12.82,1458.39,0,19.63,36.6,45.9,176.0,0.0,124.0,120.0,4095.0,2678.0,38.93,12.12,20.26,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 08:59:40.871924+00:00,13.13,15.14,1508.28,0,19.63,35.7,48.6,139.0,0.0,130.0,126.0,4095.0,2726.0,42.34,13.52,21.55,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:28:13.859227+00:00,13.13,12.59,1658.45,0,19.63,36.6,46.5,167.0,0.0,114.0,123.0,4095.0,2684.0,33.25,12.82,20.42,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:21:05.506399+00:00,12.95,13.29,1482.16,0,19.63,36.2,47.2,160.0,0.0,122.0,128.0,4095.0,2733.0,37.79,13.98,21.74,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:47:36.759340+00:00,11.19,12.12,1519.66,0,19.63,35.5,50.2,186.0,0.0,132.0,122.0,4095.0,2665.0,43.48,12.59,19.93,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:03:47.148758+00:00,18.94,19.79,1706.05,0,19.63,35.9,49.2,143.0,0.0,145.0,134.0,4095.0,2740.0,50.34,15.38,21.94,0.0,8.18,Sedang,Sedang,4,Margomulyo
