periode_data,tanggal,lokasi_spku,pm10,so2,co,o3,no2,max,critical,categori,tahun,pm25
2017,2017-02-26,DKI1,44.0,8.0,25.0,60.0,4.0,60,O3,SEDANG,2017,
2017,2017-02-27,DKI1,30.0,6.0,23.0,44.0,4.0,44,O3,BAIK,2017,
2017,2017-02-28,DKI1,58.0,6.0,26.0,54.0,4.0,58,PM10,SEDANG,2017,
2017,2017-03-01,DKI1,51.0,8.0,26.0,46.0,5.0,51,PM10,SEDANG,2017,
2017,2017-03-02,DKI1,56.0,8.0,28.0,56.0,4.0,56,PM10,SEDANG,2017,
2017,2017-03-03,DKI1,49.0,5.0,33.0,53.0,4.0,53,O3,SEDANG,2017,
2017,2017-03-04,DKI1,37.0,9.0,25.0,75.0,5.0,75,O3,SEDANG,2017,
2017,2017-03-05,DKI1,51.0,7.0,24.0,53.0,4.0,53,O3,SEDANG,2017,
2017,2017-03-06,DKI1,42.0,8.0,19.0,44.0,3.0,44,O3,BAIK,2017,
2017,2017-03-07,DKI1,41.0,10.0,22.0,42.0,4.0,42,O3,BAIK,2017,
2017,2017-03-08,DKI1,25.0,7.0,22.0,84.0,4.0,84,O3,SEDANG,2017,
2017,2017-03-09,DKI1,53.0,12.0,22.0,101.0,6.0,101,O3,TIDAK SEHAT,2017,
2017,2017-03-10,DKI1,62.0,8.0,28.0,43.0,5.0,62,PM10,SEDANG,2017,
2017,2017-03-11,DKI1,56.0,9.0,27.0,63.0,4.0,63,O3,SEDANG,2017,
2017,2017-03-12,DKI1,57.0,6.0,29.0,53.0,4.0,57,PM10,SEDANG,2017,
2017,2017-03-13,DKI1,53.0,9.0,24.0,60.0,5.0,60,O3,SEDANG,2017,
2017,2017-03-14,DKI1,62.0,14.0,24.0,48.0,4.0,62,PM10,SEDANG,2017,
2017,2017-03-15,DKI1,36.0,8.0,20.0,31.0,3.0,36,PM10,BAIK,2017,
2017,2017-03-16,DKI1,35.0,9.0,20.0,125.0,5.0,125,O3,TIDAK SEHAT,2017,
2017,2017-03-17,DKI1,63.0,10.0,25.0,80.0,5.0,80,O3,SEDANG,2017,
2017,2017-03-18,DKI1,55.0,7.0,33.0,52.0,6.0,55,PM10,SEDANG,2017,
2017,2017-03-19,DKI1,51.0,13.0,27.0,50.0,2.0,51,PM10,SEDANG,2017,
2017,2017-03-20,DKI1,35.0,7.0,17.0,26.0,2.0,35,PM10,BAIK,2017,
2017,2017-03-21,DKI1,51.0,13.0,23.0,32.0,3.0,51,PM10,SEDANG,2017,
2017,2017-03-22,DKI1,34.0,8.0,24.0,47.0,6.0,47,O3,BAIK,2017,
2017,2017-03-23,DKI1,46.0,6.0,33.0,34.0,7.0,46,PM10,BAIK,2017,
2017,2017-03-24,DKI1,77.0,11.0,50.0,97.0,7.0,97,O3,SEDANG,2017,
2017,2017-03-25,DKI1,52.0,10.0,20.0,41.0,4.0,52,PM10,SEDANG,2017,
2017,2017-03-26,DKI1,57.0,9.0,30.0,54.0,3.0,57,PM10,SEDANG,2017,
2017,2017-03-27,DKI1,42.0,8.0,23.0,80.0,5.0,80,O3,SEDANG,2017,
2017,2017-03-28,DKI1,64.0,12.0,35.0,71.0,3.0,71,O3,SEDANG,2017,
2017,2017-03-29,DKI1,51.0,8.0,27.0,62.0,4.0,62,O3,SEDANG,2017,
2017,2017-03-30,DKI1,32.0,9.0,20.0,26.0,3.0,32,PM10,BAIK,2017,
2017,2017-04-01,DKI1,41.0,6.0,19.0,,3.0,41,PM10,BAIK,2017,
2017,2017-04-02,DKI1,47.0,,23.0,,4.0,47,PM10,BAIK,2017,
