id,created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,temperature,humidity,pm10_corrected_ugm3,pm10_flag
89716,2026-05-12 15:39:38.449277+00:00,10.48,14.21,2937.23,0.0,19.63,34.8,63.9,14.21,ok
89717,2026-05-12 15:43:34.767298+00:00,13.13,13.98,3381.79,0.0,19.63,34.7,64.2,13.98,ok
89718,2026-05-12 15:44:35.384465+00:00,14.54,14.91,3140.49,0.0,19.63,34.8,64.0,14.91,ok
89719,2026-05-12 15:45:35.144060+00:00,14.18,15.61,3664.14,0.0,19.63,34.9,63.7,15.61,ok
89720,2026-05-12 15:46:36.153769+00:00,13.3,12.36,2969.76,0.0,19.63,35.1,63.1,13.3,adjusted_min
89721,2026-05-12 15:50:38.394442+00:00,14.89,17.7,2891.64,0.0,19.63,35.1,63.4,17.7,ok
89722,2026-05-12 15:51:39.269323+00:00,19.47,17.23,3065.63,0.0,19.63,34.8,63.8,19.47,adjusted_min
89723,2026-05-12 15:52:40.675260+00:00,15.77,16.07,3370.5,0.0,19.63,34.8,63.8,16.07,ok
89724,2026-05-12 15:53:41.735612+00:00,14.01,15.61,3095.26,0.0,19.63,34.9,63.7,15.61,ok
89725,2026-05-12 15:54:42.800459+00:00,13.83,13.05,2965.08,0.0,19.63,35.1,63.2,13.83,adjusted_min
89726,2026-05-12 15:55:43.860463+00:00,14.01,15.61,3735.28,0.0,19.63,34.7,64.3,15.61,ok
89727,2026-05-12 15:56:45.003320+00:00,13.65,17.23,3715.68,0.0,19.63,34.8,64.5,17.23,ok
89728,2026-05-12 15:57:45.931822+00:00,16.3,16.54,3212.79,0.0,19.63,34.9,64.3,16.54,ok
89729,2026-05-12 15:58:47.040838+00:00,15.24,20.25,3239.2,0.0,19.63,35.1,63.9,20.25,ok
89730,2026-05-12 15:59:48.021428+00:00,15.24,16.54,3480.08,0.0,19.63,34.8,64.2,16.54,ok
89731,2026-05-12 16:00:49.207272+00:00,15.95,16.07,2918.87,0.0,19.63,34.8,64.5,16.07,ok
89732,2026-05-12 16:01:50.066241+00:00,13.48,17.93,3497.86,0.0,19.63,34.9,64.5,17.93,ok
89733,2026-05-12 16:02:51.246241+00:00,17.0,17.93,3728.73,0.0,19.63,35.0,64.3,17.93,ok
89734,2026-05-12 16:03:52.759367+00:00,12.07,17.0,3741.85,0.0,19.63,34.8,64.4,17.0,ok
89735,2026-05-12 16:04:54.252274+00:00,15.95,17.47,3480.08,0.0,19.63,34.7,65.1,17.47,ok
89736,2026-05-12 16:05:55.523771+00:00,15.42,15.84,3309.37,0.0,19.63,34.9,64.8,15.84,ok
89737,2026-05-12 16:06:56.496484+00:00,18.41,19.09,3041.25,0.0,19.63,35.1,64.1,19.09,ok
89738,2026-05-12 16:07:57.288091+00:00,16.83,18.4,3085.33,0.0,19.63,34.8,64.7,18.4,ok
89739,2026-05-12 16:08:58.374930+00:00,14.54,13.98,3176.34,0.0,19.63,34.7,65.1,14.54,adjusted_min
89740,2026-05-12 16:09:59.327374+00:00,13.3,14.21,2923.44,0.0,19.63,34.9,64.8,14.21,ok
89741,2026-05-12 16:11:01.075860+00:00,11.54,14.21,2869.22,0.0,19.63,35.1,64.0,14.21,ok
89742,2026-05-12 16:12:02.234915+00:00,13.13,11.66,3176.34,0.0,19.63,34.8,64.7,13.13,adjusted_min
89743,2026-05-12 16:16:04.271324+00:00,18.24,18.4,3619.92,0.0,19.63,34.8,64.9,18.4,ok
89744,2026-05-12 16:17:05.446752+00:00,17.71,19.09,3007.58,0.0,19.63,34.7,64.9,19.09,ok
89745,2026-05-12 16:18:06.553447+00:00,17.53,19.56,3619.92,0.0,19.63,34.8,64.9,19.56,ok
89746,2026-05-12 16:19:07.648796+00:00,16.12,16.07,3342.51,0.0,19.63,34.9,64.7,16.12,adjusted_min
89747,2026-05-12 16:20:08.581780+00:00,18.94,18.4,3012.36,0.0,19.63,35.0,64.2,18.94,adjusted_min
89748,2026-05-12 16:21:09.549323+00:00,17.88,17.93,3421.76,0.0,19.63,34.6,65.2,17.93,ok
