iter	RMSE
0	374.3535157
1	364.913024
2	356.1178691
3	347.9320026
4	340.1089604
5	332.8500518
6	326.1112339
7	319.6633736
8	313.9731157
9	308.582792
10	303.5277756
11	298.8048672
12	294.1802912
13	290.1532954
14	286.5102379
15	283.1052328
16	280.1215938
17	277.1261632
18	274.3896297
19	272.0423131
20	269.6624889
21	267.2408144
22	265.4464113
23	263.5902472
24	261.7644992
25	260.0872553
26	258.6804722
27	257.2167398
28	255.8109199
29	254.6725279
30	253.7643755
31	252.614874
32	251.6514188
33	250.7977601
34	249.8593458
35	249.0372073
36	248.3143524
37	247.5239397
38	246.8956803
39	246.1756853
40	245.5812885
41	244.9644511
42	244.3887641
43	244.0181932
44	243.4344671
45	242.9930142
46	242.6816661
47	242.3948094
48	241.9085924
49	241.5105894
50	241.1364143
51	240.7852599
52	240.4859145
53	240.1231899
54	239.7886875
55	239.4456682
56	239.1229391
57	238.9112899
58	238.5522279
59	238.2902735
60	238.0454436
61	237.7299821
62	237.5188495
63	237.3225753
64	237.1224686
65	236.8089523
66	236.5169096
67	236.1734695
68	235.8839063
69	235.6829904
70	235.4706671
71	235.2760745
72	235.0929594
73	234.8787052
74	234.711912
75	234.4582442
76	234.3655174
77	234.2501518
78	234.0012147
79	233.8679
80	233.720706
81	233.6211311
82	233.3358924
83	233.0684844
84	232.9375044
85	232.7283875
86	232.6810518
87	232.5551025
88	232.3265969
89	232.183205
90	231.9151052
91	231.8684508
92	231.7818947
93	231.6231517
94	231.5245813
95	231.4277877
96	231.3407296
97	231.1935295
98	231.0833853
99	230.8881285
100	230.8002862
101	230.7531755
102	230.6561116
103	230.6061068
104	230.4277321
105	230.2351188
106	230.0760039
107	229.9977434
108	229.7816561
109	229.5899616
110	229.4862673
111	229.3639547
112	229.2787992
113	229.0740339
114	228.9322869
115	228.8629672
116	228.606379
117	228.5481522
118	228.4966729
119	228.3952654
120	228.2776624
121	228.1174458
122	228.0651604
123	227.9406021
124	227.7161001
125	227.5611126
126	227.3522633
127	227.2841772
128	227.1371655
129	226.9858851
130	226.8604907
131	226.7840354
132	226.6911926
133	226.5300387
134	226.3697206
135	226.3211985
136	226.1751833
137	226.1218864
138	225.988358
139	225.8170776
140	225.7553689
141	225.7047629
142	225.5939569
143	225.4837828
144	225.3948137
145	225.3059787
146	225.1350829
147	225.0555493
148	224.9051199
149	224.7817706
150	224.6847285
151	224.5304705
152	224.4307797
153	224.3351264
154	224.2558759
155	224.1683031
156	224.0928645
157	223.8529892
158	223.7960698
159	223.5938804
160	223.5159334
161	223.4493219
162	223.3137938
163	223.2164612
164	223.038079
165	222.8956537
166	222.7849196
167	222.6048222
168	222.435636
169	222.3727511
170	222.3439401
171	222.2864526
172	222.1882021
173	222.1725587
174	222.0749047
175	222.0300385
176	221.826544
177	221.800403
178	221.7371183
179	221.6410864
180	221.5378486
181	221.396163
182	221.2392397
183	221.1327828
184	221.0015536
185	220.9446061
186	220.8535989
187	220.7257616
188	220.6858022
189	220.5700863
190	220.4092987
191	220.2401874
192	220.1466216
193	220.0514657
194	219.9521917
195	219.8240094
196	219.742477
197	219.593124
198	219.4982534
199	219.3824594
200	219.2802276
201	219.1666743
202	219.0600835
203	218.9138402
204	218.8106823
205	218.6607652
206	218.6210278
207	218.5047131
208	218.4032532
209	218.2676045
210	218.1871961
211	218.0829971
212	217.9903935
213	217.8262521
214	217.653302
215	217.4803375
216	217.3517488
217	217.214548
218	217.123257
219	216.9873589
220	216.9063782
221	216.766488
222	216.6688224
223	216.541284
224	216.4004962
225	216.3058066
226	216.2007183
227	216.0250543
228	215.9489987
229	215.7891147
230	215.7066559
231	215.5880141
232	215.4374758
233	215.1933714
234	215.0975877
235	215.0206005
236	214.8456873
237	214.673252
238	214.5506276
239	214.4316054
240	214.3348943
241	214.1888434
242	214.0623892
243	214.0114851
244	213.8422521
245	213.7666887
246	213.6549994
247	213.5633579
248	213.4890599
249	213.3694341
250	213.2879352
251	213.1503379
252	212.9879227
253	212.8660036
254	212.7649967
255	212.6250245
256	212.5793764
257	212.4667286
258	212.3533696
259	212.2260883
260	212.2142003
261	212.0668474
262	212.0582841
263	211.8955813
264	211.8264969
265	211.7257934
266	211.6550476
267	211.5342005
268	211.4041191
269	211.2837791
270	211.1108075
271	210.9648446
272	210.840441
273	210.764873
274	210.6194692
275	210.501666
276	210.4252915
277	210.2845242
278	210.1966947
279	210.0432357
280	209.9175277
281	209.7742666
282	209.6159969
283	209.5763589
284	209.4256211
285	209.3559402
286	209.2653443
287	209.1282292
288	208.9842788
289	208.8869064
290	208.7568274
291	208.6758021
292	208.548867
293	208.4485864
294	208.3891711
295	208.3407284
296	208.2210716
297	208.1019137
298	207.9823439
299	207.8768567
