iter	Passed	Remaining
0	5	1547
1	9	1376
2	13	1335
3	17	1304
4	21	1261
5	25	1247
6	29	1235
7	33	1222
8	37	1218
9	42	1219
10	46	1213
11	51	1231
12	53	1191
13	58	1191
14	62	1195
15	67	1190
16	71	1196
17	75	1188
18	80	1186
19	84	1189
20	89	1186
21	93	1181
22	98	1182
23	102	1176
24	106	1174
25	111	1173
26	115	1165
27	119	1163
28	124	1161
29	128	1154
30	133	1160
31	139	1165
32	144	1172
33	150	1174
34	155	1178
35	160	1178
36	167	1192
37	173	1196
38	179	1200
39	186	1214
40	193	1219
41	200	1229
42	206	1235
43	213	1241
44	220	1247
45	226	1249
46	231	1247
47	236	1239
48	240	1233
49	246	1231
50	251	1227
51	258	1232
52	266	1239
53	273	1244
54	279	1244
55	284	1239
56	289	1232
57	294	1227
58	300	1228
59	306	1226
60	312	1224
61	318	1222
62	324	1220
63	329	1213
64	334	1208
65	339	1203
66	346	1203
67	352	1202
68	358	1199
69	363	1194
70	368	1187
71	372	1180
72	378	1175
73	382	1168
74	389	1167
75	394	1162
76	400	1160
77	406	1158
78	412	1154
79	417	1147
80	422	1141
81	427	1137
82	432	1131
83	438	1127
84	443	1122
85	448	1117
86	454	1111
87	459	1106
88	463	1097
89	468	1092
90	475	1091
91	480	1085
92	483	1077
93	488	1071
94	494	1066
95	501	1064
96	506	1060
97	510	1053
98	515	1046
99	520	1041
100	528	1040
101	531	1032
102	536	1025
103	542	1022
104	547	1016
105	551	1008
106	555	1001
107	559	994
108	565	991
109	569	983
110	573	976
111	577	969
112	583	965
113	588	959
114	591	952
115	595	945
116	601	940
117	607	936
118	611	930
119	616	924
120	620	918
121	628	916
122	632	910
123	636	903
124	642	899
125	644	890
126	649	884
127	654	879
128	658	873
129	664	868
130	669	863
131	673	857
132	679	853
133	686	850
134	691	845
135	703	848
136	708	842
137	712	836
138	716	830
139	720	823
140	725	818
141	730	813
142	735	807
143	739	800
144	743	794
145	761	802
146	766	797
147	771	792
148	777	788
149	783	783
150	787	777
151	793	772
152	799	767
153	803	761
154	808	756
155	812	749
156	818	745
157	824	740
158	829	735
159	833	729
160	837	722
161	842	717
162	846	711
163	852	706
164	858	702
165	862	696
166	867	690
167	871	684
168	877	679
169	882	674
170	887	669
171	891	663
172	898	659
173	902	653
174	907	648
175	912	642
176	917	637
177	922	632
178	927	626
179	932	621
180	937	616
181	942	611
182	946	605
183	951	599
184	956	594
185	961	589
186	965	583
187	970	578
188	976	573
189	980	567
190	984	561
191	988	556
192	993	550
193	998	545
194	1002	540
195	1007	534
196	1012	529
197	1017	524
198	1022	519
199	1028	514
200	1033	508
201	1037	503
202	1042	497
203	1045	492
204	1051	487
205	1056	481
206	1059	476
207	1064	470
208	1068	465
209	1073	460
210	1078	455
211	1084	450
212	1089	445
213	1093	439
214	1098	434
215	1103	429
216	1107	423
217	1111	418
218	1116	413
219	1122	408
220	1127	402
221	1132	397
222	1135	392
223	1141	387
224	1146	382
225	1151	377
226	1155	371
227	1160	366
228	1164	361
229	1170	356
230	1174	350
231	1179	345
232	1183	340
233	1187	335
234	1192	329
235	1197	324
236	1202	319
237	1207	314
238	1211	309
239	1215	303
240	1220	298
241	1226	293
242	1230	288
243	1234	283
244	1239	278
245	1245	273
246	1249	268
247	1254	262
248	1258	257
249	1263	252
250	1267	247
251	1272	242
252	1276	237
253	1280	231
254	1284	226
255	1288	221
256	1294	216
257	1299	211
258	1303	206
259	1307	201
260	1312	196
261	1316	190
262	1322	186
263	1327	180
264	1331	175
265	1336	170
266	1340	165
267	1344	160
268	1348	155
269	1352	150
270	1356	145
271	1361	140
272	1366	135
273	1370	130
274	1375	125
275	1379	119
276	1383	114
277	1388	109
278	1392	104
279	1396	99
280	1402	94
281	1406	89
282	1410	84
283	1417	79
284	1422	74
285	1426	69
286	1430	64
287	1435	59
288	1439	54
289	1443	49
290	1449	44
291	1453	39
292	1458	34
293	1463	29
294	1467	24
295	1472	19
296	1478	14
297	1482	9
298	1487	4
299	1493	0
